,carat,cut,color,clarity,depth,table,x,y,z,price_predicted
0,0.91,Very Good,H,SI2,63.4,57.0,6.1,6.18,3.89,2975.5822859458585
1,0.38,Good,F,VS2,60.3,61.0,4.68,4.71,2.83,831.2190057166844
2,0.52,Ideal,H,VS2,61.8,56.0,5.19,5.16,3.2,1440.4144371664956
3,1.1,Ideal,G,VS1,61.3,56.0,6.65,6.69,4.09,7505.1906074434455
4,2.28,Ideal,G,SI2,61.6,57.0,8.44,8.37,5.18,18916.00821963926
5,2.01,Very Good,J,VS2,60.8,58.0,8.08,8.16,4.94,12362.259944850648
6,1.06,Ideal,G,SI2,62.2,57.0,6.51,6.49,4.04,4427.354470765453
7,0.7,Premium,E,SI1,60.1,58.0,5.81,5.83,3.5,2526.7788644789475
8,0.73,Premium,I,VS2,59.7,59.0,5.94,5.81,3.51,2314.354426178717
9,0.73,Ideal,H,IF,61.6,55.0,5.8,5.82,3.58,3876.362773950169
10,1.0,Good,D,VS2,64.1,58.0,6.24,6.33,4.03,5815.4500716052435
11,0.33,Ideal,G,VVS2,60.1,57.0,4.48,4.51,2.7,765.5105217031585
12,0.54,Ideal,J,VVS2,61.6,57.0,5.25,5.23,3.23,1290.8512176717647
13,0.33,Ideal,D,VS2,61.9,53.0,4.49,4.46,2.77,799.8674418958899
14,0.51,Fair,D,VS2,64.4,54.0,5.06,5.03,3.25,1574.6325631442865
15,0.51,Ideal,E,SI1,62.4,55.0,5.09,5.14,3.19,1432.0394624996939
16,0.3,Good,I,SI1,63.2,55.0,4.25,4.29,2.7,385.2773591459386
17,2.66,Good,H,SI2,64.3,60.0,8.71,8.65,5.58,20754.21872336714
18,0.92,Premium,F,SI1,61.8,59.0,6.21,6.25,3.85,4067.7034525259282
19,0.3,Ideal,G,IF,62.2,55.0,4.3,4.32,2.68,866.8526448029406
20,1.0,Very Good,H,SI1,62.0,54.0,6.43,6.47,4.0,3998.5853340237454
21,0.34,Very Good,F,VS1,61.1,57.0,4.51,4.54,2.76,819.436883979945
22,1.01,Very Good,F,SI2,62.4,58.0,6.37,6.41,3.99,3987.261176595625
23,0.87,Ideal,F,VS1,62.0,55.0,6.1,6.13,3.79,5269.738505226131
24,1.26,Premium,D,SI2,61.9,58.0,6.88,6.81,4.24,6758.86482375701
25,0.38,Premium,E,VS1,60.2,58.0,4.66,4.71,2.82,1113.8583363570456
26,0.55,Ideal,F,VVS2,62.3,54.0,5.29,5.27,3.29,2190.724828343587
27,0.65,Premium,G,SI1,61.9,58.0,5.54,5.51,3.42,1977.8695670744146
