,carat,cut,color,clarity,depth,table,x,y,z,price_predicted
0,0.91,Very Good,H,SI2,63.4,57.0,6.1,6.18,3.89,2975.5822859458585
1,0.38,Good,F,VS2,60.3,61.0,4.68,4.71,2.83,831.2190057166792
2,0.52,Ideal,H,VS2,61.8,56.0,5.19,5.16,3.2,1440.4144371664918
3,1.1,Ideal,G,VS1,61.3,56.0,6.65,6.69,4.09,7505.190607443299
4,2.28,Ideal,G,SI2,61.6,57.0,8.44,8.37,5.18,18916.00821963832
5,2.01,Very Good,J,VS2,60.8,58.0,8.08,8.16,4.94,12362.259944850626
6,1.06,Ideal,G,SI2,62.2,57.0,6.51,6.49,4.04,4427.354470765358
7,0.7,Premium,E,SI1,60.1,58.0,5.81,5.83,3.5,2526.778864478952
8,0.73,Premium,I,VS2,59.7,59.0,5.94,5.81,3.51,2314.354426178717
9,0.73,Ideal,H,IF,61.6,55.0,5.8,5.82,3.58,3876.3627739501762
10,1.0,Good,D,VS2,64.1,58.0,6.24,6.33,4.03,5815.450071605223
11,0.33,Ideal,G,VVS2,60.1,57.0,4.48,4.51,2.7,765.5105217031781
12,0.54,Ideal,J,VVS2,61.6,57.0,5.25,5.23,3.23,1290.8512176717659
13,0.33,Ideal,D,VS2,61.9,53.0,4.49,4.46,2.77,799.8674418958927
14,0.51,Fair,D,VS2,64.4,54.0,5.06,5.03,3.25,1574.6325631442892
15,0.51,Ideal,E,SI1,62.4,55.0,5.09,5.14,3.19,1432.03946249969
16,0.3,Good,I,SI1,63.2,55.0,4.25,4.29,2.7,385.27735914593757
17,2.66,Good,H,SI2,64.3,60.0,8.71,8.65,5.58,20754.21872336725
18,0.92,Premium,F,SI1,61.8,59.0,6.21,6.25,3.85,4067.7034525259423
19,0.3,Ideal,G,IF,62.2,55.0,4.3,4.32,2.68,866.8526448029668
20,1.0,Very Good,H,SI1,62.0,54.0,6.43,6.47,4.0,3998.5853340237522
21,0.34,Very Good,F,VS1,61.1,57.0,4.51,4.54,2.76,819.4368839799392
22,1.01,Very Good,F,SI2,62.4,58.0,6.37,6.41,3.99,3987.261176595646
23,0.87,Ideal,F,VS1,62.0,55.0,6.1,6.13,3.79,5269.738505226149
24,1.26,Premium,D,SI2,61.9,58.0,6.88,6.81,4.24,6758.864823756961
25,0.38,Premium,E,VS1,60.2,58.0,4.66,4.71,2.82,1113.8583363570408
26,0.55,Ideal,F,VVS2,62.3,54.0,5.29,5.27,3.29,2190.7248283435847
27,0.65,Premium,G,SI1,61.9,58.0,5.54,5.51,3.42,1977.8695670744112
28,0.41,Premium,D,VVS2,62.2,58.0,4.8,4.78,2.98,1389.7449454453176
29,0.7,Very Good,I,I1,63.2,59.0,5.62,5.59,3.54,1547.1423196484518
30,1.03,Very Good,I,VS1,62.9,53.0,6.45,6.5,4.07,4674.709771917079
31,0.34,Ideal,F,VVS2,61.3,56.0,4.52,4.56,2.78,872.5050637195197
32,0.73,Ideal,I,VVS1,61.7,53.0,5.8,5.84,3.59,2903.293865465134
33,0.83,Ideal,D,SI2,62.1,56.0,6.0,6.04,3.74,3187.4600104244646
34,0.51,Very Good,G,SI1,63.0,53.0,5.1,5.13,3.22,1210.5551118141018
35,1.06,Ideal,E,VS2,61.3,57.0,6.54,6.57,4.02,6736.540912904273
36,0.41,Ideal,D,VS1,61.8,57.0,4.75,4.8,2.95,1440.7015291645014
37,1.03,Ideal,F,VS2,60.4,56.0,6.59,6.56,3.97,6158.750966446136
