,carat,cut,color,clarity,depth,table,x,y,z,group,price_predicted
0,0.91,Very Good,H,SI2,63.4,57.0,6.1,6.18,3.89,1,2996.7107705545823
1,0.38,Good,F,VS2,60.3,61.0,4.68,4.71,2.83,1,831.1783322336324
2,0.52,Ideal,H,VS2,61.8,56.0,5.19,5.16,3.2,1,1443.1473327617146
3,1.1,Ideal,G,VS1,61.3,56.0,6.65,6.69,4.09,0,7514.509470265815
4,2.28,Ideal,G,SI2,61.6,57.0,8.44,8.37,5.18,0,18919.137684485933
5,2.01,Very Good,J,VS2,60.8,58.0,8.08,8.16,4.94,0,12145.614557161205
6,1.06,Ideal,G,SI2,62.2,57.0,6.51,6.49,4.04,0,4434.177883783083
7,0.7,Premium,E,SI1,60.1,58.0,5.81,5.83,3.5,1,2409.5048052304037
8,0.73,Premium,I,VS2,59.7,59.0,5.94,5.81,3.51,1,2308.2908675436006
9,0.73,Ideal,H,IF,61.6,55.0,5.8,5.82,3.58,1,3911.26239096386
10,1.0,Good,D,VS2,64.1,58.0,6.24,6.33,4.03,0,6075.549253126611
11,0.33,Ideal,G,VVS2,60.1,57.0,4.48,4.51,2.7,1,765.7307172666593
12,0.54,Ideal,J,VVS2,61.6,57.0,5.25,5.23,3.23,1,1289.94082571431
13,0.33,Ideal,D,VS2,61.9,53.0,4.49,4.46,2.77,1,812.1261677449463
14,0.51,Fair,D,VS2,64.4,54.0,5.06,5.03,3.25,1,1537.165133719393
15,0.51,Ideal,E,SI1,62.4,55.0,5.09,5.14,3.19,1,1404.9531472517103
16,0.3,Good,I,SI1,63.2,55.0,4.25,4.29,2.7,1,387.28259861291986
17,2.66,Good,H,SI2,64.3,60.0,8.71,8.65,5.58,0,20652.632343934958
18,0.92,Premium,F,SI1,61.8,59.0,6.21,6.25,3.85,1,4068.1788928815677
19,0.3,Ideal,G,IF,62.2,55.0,4.3,4.32,2.68,1,867.1158286153559
20,1.0,Very Good,H,SI1,62.0,54.0,6.43,6.47,4.0,1,4035.451032158337
21,0.34,Very Good,F,VS1,61.1,57.0,4.51,4.54,2.76,1,819.396753942701
22,1.01,Very Good,F,SI2,62.4,58.0,6.37,6.41,3.99,1,3987.7144493005167
23,0.87,Ideal,F,VS1,62.0,55.0,6.1,6.13,3.79,1,5270.467834745761
24,1.26,Premium,D,SI2,61.9,58.0,6.88,6.81,4.24,0,6947.46867213612
25,0.38,Premium,E,VS1,60.2,58.0,4.66,4.71,2.82,1,1113.4136111480427
26,0.55,Ideal,F,VVS2,62.3,54.0,5.29,5.27,3.29,1,2190.846014523002
27,0.65,Premium,G,SI1,61.9,58.0,5.54,5.51,3.42,1,1976.583003191043
