,carat,cut,color,clarity,depth,table,x,y,z,group,price_predicted
0,0.91,Very Good,H,SI2,63.4,57.0,6.1,6.18,3.89,0.0,2938.2474679247666
1,0.38,Good,F,VS2,60.3,61.0,4.68,4.71,2.83,1.0,845.2194971604754
2,0.52,Ideal,H,VS2,61.8,56.0,5.19,5.16,3.2,1.0,1395.8007429459274
3,1.1,Ideal,G,VS1,61.3,56.0,6.65,6.69,4.09,0.0,6827.231530871443
4,2.28,Ideal,G,SI2,61.6,57.0,8.44,8.37,5.18,0.0,17780.121489866044
5,2.01,Very Good,J,VS2,60.8,58.0,8.08,8.16,4.94,0.0,14152.802276355276
6,1.06,Ideal,G,SI2,62.2,57.0,6.51,6.49,4.04,0.0,4325.1457446313125
7,0.7,Premium,E,SI1,60.1,58.0,5.81,5.83,3.5,1.0,2563.749345562186
8,0.73,Premium,I,VS2,59.7,59.0,5.94,5.81,3.51,1.0,2354.3517917637014
9,0.73,Ideal,H,IF,61.6,55.0,5.8,5.82,3.58,1.0,3653.8981653577403
10,1.0,Good,D,VS2,64.1,58.0,6.24,6.33,4.03,1.0,6258.178641758655
11,0.33,Ideal,G,VVS2,60.1,57.0,4.48,4.51,2.7,1.0,782.9117302672322
12,0.54,Ideal,J,VVS2,61.6,57.0,5.25,5.23,3.23,1.0,1479.458865358649
13,0.33,Ideal,D,VS2,61.9,53.0,4.49,4.46,2.77,1.0,842.6881235164217
14,0.51,Fair,D,VS2,64.4,54.0,5.06,5.03,3.25,1.0,1706.998057880837
15,0.51,Ideal,E,SI1,62.4,55.0,5.09,5.14,3.19,1.0,1450.9949856347878
16,0.3,Good,I,SI1,63.2,55.0,4.25,4.29,2.7,1.0,381.465789022497
17,2.66,Good,H,SI2,64.3,60.0,8.71,8.65,5.58,0.0,20683.670569111782
18,0.92,Premium,F,SI1,61.8,59.0,6.21,6.25,3.85,0.0,4028.6046635124353
19,0.3,Ideal,G,IF,62.2,55.0,4.3,4.32,2.68,1.0,794.7073417783979
20,1.0,Very Good,H,SI1,62.0,54.0,6.43,6.47,4.0,0.0,4041.165589915803
21,0.34,Very Good,F,VS1,61.1,57.0,4.51,4.54,2.76,1.0,756.9118495417079
22,1.01,Very Good,F,SI2,62.4,58.0,6.37,6.41,3.99,0.0,3924.8712358211865
23,0.87,Ideal,F,VS1,62.0,55.0,6.1,6.13,3.79,1.0,4776.06066996997
24,1.26,Premium,D,SI2,61.9,58.0,6.88,6.81,4.24,0.0,6691.604763663387
25,0.38,Premium,E,VS1,60.2,58.0,4.66,4.71,2.82,1.0,1051.7481368459423
26,0.55,Ideal,F,VVS2,62.3,54.0,5.29,5.27,3.29,1.0,2288.1152569939172
27,0.65,Premium,G,SI1,61.9,58.0,5.54,5.51,3.42,1.0,1964.8292119241844
28,0.41,Premium,D,VVS2,62.2,58.0,4.8,4.78,2.98,1.0,1566.8659857839755
29,0.7,Very Good,I,I1,63.2,59.0,5.62,5.59,3.54,,1270.6734901599664
30,1.03,Very Good,I,VS1,62.9,53.0,6.45,6.5,4.07,1.0,4757.715299532166
31,0.34,Ideal,F,VVS2,61.3,56.0,4.52,4.56,2.78,1.0,916.0926537417155
32,0.73,Ideal,I,VVS1,61.7,53.0,5.8,5.84,3.59,1.0,3073.1256608408953
33,0.83,Ideal,D,SI2,62.1,56.0,6.0,6.04,3.74,1.0,3185.5283082410815
34,0.51,Very Good,G,SI1,63.0,53.0,5.1,5.13,3.22,1.0,1209.8743829227294
35,1.06,Ideal,E,VS2,61.3,57.0,6.54,6.57,4.02,1.0,6972.849609643332
36,0.41,Ideal,D,VS1,61.8,57.0,4.75,4.8,2.95,1.0,1367.0779722698028
37,1.03,Ideal,F,VS2,60.4,56.0,6.59,6.56,3.97,1.0,6046.889668735364
38,0.32,Ideal,D,SI1,61.3,55.0,4.41,4.46,2.72,1.0,642.038566191973
39,0.3,Premium,J,VS1,62.6,58.0,4.32,4.27,2.69,1.0,435.1792089698014
40,0.32,Very Good,D,VVS2,60.1,58.0,4.41,4.44,2.66,1.0,958.1637487739238
41,0.33,Ideal,G,VS1,61.7,56.0,4.44,4.47,2.75,1.0,698.1824362366917
42,0.25,Ideal,G,VS1,62.7,54.0,4.05,4.08,2.55,1.0,412.68145461368795
43,0.3,Ideal,F,VS1,61.0,56.0,4.37,4.35,2.66,1.0,635.8257439134145
44,1.26,Very Good,F,IF,60.0,60.0,7.04,7.09,4.24,1.0,12959.693797260143
45,1.14,Ideal,J,VS1,61.6,56.0,6.71,6.73,4.14,0.0,5627.760929165366
46,1.51,Premium,H,SI1,62.8,60.0,7.22,7.14,4.51,0.0,9034.111416620874
47,0.51,Very Good,E,SI2,62.0,57.0,5.09,5.13,3.17,1.0,1167.3282039185383
48,0.32,Ideal,G,IF,61.0,57.0,4.44,4.48,2.72,1.0,897.0215961633385
49,0.94,Premium,E,SI2,60.4,59.0,6.37,6.34,3.84,0.0,3711.900669557978
50,0.51,Premium,E,VS2,60.6,58.0,5.15,5.12,3.11,1.0,1703.93910439741
51,1.12,Ideal,H,SI2,61.4,56.0,6.69,6.66,4.1,0.0,4560.932219009274
52,1.33,Premium,G,SI2,60.3,58.0,7.19,7.16,4.33,0.0,6391.80992616895
53,0.32,Premium,H,VS2,61.7,59.0,4.35,4.4,2.7,1.0,542.6355449322032
54,0.7,Ideal,E,VS2,62.6,57.0,5.63,5.68,3.54,1.0,3187.3923557079142
55,1.35,Ideal,H,VVS1,61.9,57.0,7.06,7.09,4.38,1.0,10886.43073153713
56,0.23,Good,F,VS2,63.8,57.0,3.93,3.84,2.48,1.0,327.78715857651576
57,0.9,Very Good,F,I1,61.9,59.0,6.16,6.18,3.82,,2161.9133061388848
58,1.03,Ideal,D,SI1,61.3,56.0,6.48,6.54,3.99,0.0,5814.528273100582
59,1.02,Good,E,SI2,62.8,64.0,6.36,6.32,3.98,0.0,4078.8864395266796
60,0.55,Ideal,H,VVS2,61.7,57.0,5.28,5.26,3.25,1.0,1872.2914570506846
