,carat,cut,color,clarity,depth,table,x,y,z,price_predicted
0,0.91,Very Good,H,SI2,63.4,57.0,6.1,6.18,3.89,3219.409079110565
1,0.38,Good,F,VS2,60.3,61.0,4.68,4.71,2.83,838.2948952725731
2,0.52,Ideal,H,VS2,61.8,56.0,5.19,5.16,3.2,1640.4559591533023
3,1.1,Ideal,G,VS1,61.3,56.0,6.65,6.69,4.09,6772.680875313847
4,2.28,Ideal,G,SI2,61.6,57.0,8.44,8.37,5.18,16976.870372951755
5,2.01,Very Good,J,VS2,60.8,58.0,8.08,8.16,4.94,17129.692245898852
6,1.06,Ideal,G,SI2,62.2,57.0,6.51,6.49,4.04,4475.717963792734
7,0.7,Premium,E,SI1,60.1,58.0,5.81,5.83,3.5,2376.208241273089
8,0.73,Premium,I,VS2,59.7,59.0,5.94,5.81,3.51,2910.5882726583623
9,0.73,Ideal,H,IF,61.6,55.0,5.8,5.82,3.58,4403.957194193567
10,1.0,Good,D,VS2,64.1,58.0,6.24,6.33,4.03,4767.127322427091
11,0.33,Ideal,G,VVS2,60.1,57.0,4.48,4.51,2.7,864.3180689825012
12,0.54,Ideal,J,VVS2,61.6,57.0,5.25,5.23,3.23,1968.3694660549
13,0.33,Ideal,D,VS2,61.9,53.0,4.49,4.46,2.77,724.7738477864389
14,0.51,Fair,D,VS2,64.4,54.0,5.06,5.03,3.25,1371.9075144502958
15,0.51,Ideal,E,SI1,62.4,55.0,5.09,5.14,3.19,1351.7893299104583
16,0.3,Good,I,SI1,63.2,55.0,4.25,4.29,2.7,462.50721001955026
17,2.66,Good,H,SI2,64.3,60.0,8.71,8.65,5.58,20885.12946367884
18,0.92,Premium,F,SI1,61.8,59.0,6.21,6.25,3.85,3958.3179807171996
19,0.3,Ideal,G,IF,62.2,55.0,4.3,4.32,2.68,805.6147796581764
20,1.0,Very Good,H,SI1,62.0,54.0,6.43,6.47,4.0,4500.928915721649
21,0.34,Very Good,F,VS1,61.1,57.0,4.51,4.54,2.76,729.1883192539168
22,1.01,Very Good,F,SI2,62.4,58.0,6.37,6.41,3.99,3896.6659637614953
23,0.87,Ideal,F,VS1,62.0,55.0,6.1,6.13,3.79,4332.715284323742
24,1.26,Premium,D,SI2,61.9,58.0,6.88,6.81,4.24,5990.324868746803
25,0.38,Premium,E,VS1,60.2,58.0,4.66,4.71,2.82,924.3064338968528
26,0.55,Ideal,F,VVS2,62.3,54.0,5.29,5.27,3.29,2029.664172669912
27,0.65,Premium,G,SI1,61.9,58.0,5.54,5.51,3.42,2069.1259246246136
28,0.41,Premium,D,VVS2,62.2,58.0,4.8,4.78,2.98,1209.0682667978476
29,0.7,Very Good,I,I1,63.2,59.0,5.62,5.59,3.54,1407.0155072327393
30,1.03,Very Good,I,VS1,62.9,53.0,6.45,6.5,4.07,5609.451735789352
31,0.34,Ideal,F,VVS2,61.3,56.0,4.52,4.56,2.78,908.5325357624553
32,0.73,Ideal,I,VVS1,61.7,53.0,5.8,5.84,3.59,3993.3065443532937
33,0.83,Ideal,D,SI2,62.1,56.0,6.0,6.04,3.74,2859.813310032867
34,0.51,Very Good,G,SI1,63.0,53.0,5.1,5.13,3.22,1280.1355912859806
35,1.06,Ideal,E,VS2,61.3,57.0,6.54,6.57,4.02,5831.819966910449
36,0.41,Ideal,D,VS1,61.8,57.0,4.75,4.8,2.95,1098.7048138335404
37,1.03,Ideal,F,VS2,60.4,56.0,6.59,6.56,3.97,5538.675756921471
38,0.32,Ideal,D,SI1,61.3,55.0,4.41,4.46,2.72,566.1549855728631
39,0.3,Premium,J,VS1,62.6,58.0,4.32,4.27,2.69,600.6022586160622
40,0.32,Very Good,D,VVS2,60.1,58.0,4.41,4.44,2.66,777.694799291285
41,0.33,Ideal,G,VS1,61.7,56.0,4.44,4.47,2.75,739.5330380508285
42,0.25,Ideal,G,VS1,62.7,54.0,4.05,4.08,2.55,445.72044371619245
43,0.3,Ideal,F,VS1,61.0,56.0,4.37,4.35,2.66,621.5388042704293
44,1.26,Very Good,F,IF,60.0,60.0,7.04,7.09,4.24,11478.058327790332
45,1.14,Ideal,J,VS1,61.6,56.0,6.71,6.73,4.14,7228.542008104873
46,1.51,Premium,H,SI1,62.8,60.0,7.22,7.14,4.51,9166.217766205558
47,0.51,Very Good,E,SI2,62.0,57.0,5.09,5.13,3.17,1115.014058030871
48,0.32,Ideal,G,IF,61.0,57.0,4.44,4.48,2.72,901.8383525732371
49,0.94,Premium,E,SI2,60.4,59.0,6.37,6.34,3.84,3503.020537744736
50,0.51,Premium,E,VS2,60.6,58.0,5.15,5.12,3.11,1528.244659651248
51,1.12,Ideal,H,SI2,61.4,56.0,6.69,6.66,4.1,4950.519994880758
52,1.33,Premium,G,SI2,60.3,58.0,7.19,7.16,4.33,6170.659191419968
53,0.32,Premium,H,VS2,61.7,59.0,4.35,4.4,2.7,661.5662546331696
54,0.7,Ideal,E,VS2,62.6,57.0,5.63,5.68,3.54,2798.112178198003
55,1.35,Ideal,H,VVS1,61.9,57.0,7.06,7.09,4.38,11811.982785028678
56,0.23,Good,F,VS2,63.8,57.0,3.93,3.84,2.48,340.165433468349
57,0.9,Very Good,F,I1,61.9,59.0,6.16,6.18,3.82,2103.8108067809826
58,1.03,Ideal,D,SI1,61.3,56.0,6.48,6.54,3.99,5022.567627356474
59,1.02,Good,E,SI2,62.8,64.0,6.36,6.32,3.98,3869.5213585215133
60,0.55,Ideal,H,VVS2,61.7,57.0,5.28,5.26,3.25,2029.664172669912
61,0.34,Ideal,E,IF,61.7,56.0,4.46,4.48,2.76,1002.6706988030364
62,0.71,Premium,D,VVS2,60.0,58.0,5.92,5.84,3.53,3026.8167551103456
63,0.55,Good,G,SI1,63.6,61.0,5.22,5.16,3.3,1434.3727019165663
64,0.54,Ideal,G,VS2,61.5,55.0,5.24,5.27,3.23,1755.5276058931547
65,1.23,Ideal,H,IF,61.3,57.0,6.87,6.92,4.23,10963.92335811879
66,0.27,Premium,E,VVS1,60.6,58.0,4.18,4.2,2.54,618.3165317678265
67,0.53,Ideal,D,VS2,61.4,56.0,5.18,5.21,3.19,1697.559518360603
68,1.25,Ideal,G,SI2,61.1,55.0,6.95,6.99,4.26,6053.195768596479
69,0.34,Ideal,E,VVS2,62.3,57.0,4.48,4.44,2.78,908.5325357624553
70,0.36,Premium,I,VS2,62.7,59.0,4.54,4.58,2.86,817.4509232527502
71,0.34,Ideal,G,SI1,61.2,57.0,4.56,4.53,2.78,634.0136972744514
72,1.12,Good,E,SI1,64.3,57.0,6.56,6.5,4.2,4968.689425879218
73,0.3,Ideal,H,VS1,61.6,55.0,4.27,4.3,2.64,621.5388042704293
74,0.36,Ideal,D,SI1,62.0,56.0,4.61,4.55,2.84,705.4253086969871
75,0.71,Ideal,F,VVS1,61.1,54.0,5.78,5.84,3.55,3802.3459145731913
76,0.32,Premium,G,VS2,62.6,60.0,4.33,4.36,2.72,661.5662546331696
77,0.5,Premium,E,VS2,61.3,60.0,5.11,5.07,3.12,1474.8365179083487
78,0.51,Very Good,E,SI1,63.3,59.0,5.09,5.05,3.21,1280.1355912859806
